index,0,laplace_method,cluster_method,n_components
normalized/Lrw_kmeans_28,0.29721354876323913,normalized/Lrw,kmeans,28
normalized/Lsym_kmeans_26,0.294223415338929,normalized/Lsym,kmeans,26
normalized/Lrw_kmeans_30,0.29147740542217576,normalized/Lrw,kmeans,30
normalized/Lsym_kmeans_22,0.2780681558860465,normalized/Lsym,kmeans,22
normalized/Lrw_kmeans_34,0.27566664342272973,normalized/Lrw,kmeans,34
normalized/Lrw_discretize_12,0.2726619448548522,normalized/Lrw,discretize,12
normalized/Lrw_kmeans_36,0.2682961657663025,normalized/Lrw,kmeans,36
normalized/Lrw_kmeans_40,0.2665738945626073,normalized/Lrw,kmeans,40
normalized/Lsym_discretize_8,0.2651242752770424,normalized/Lsym,discretize,8
normalized/Lrw_kmeans_48,0.26191268310003285,normalized/Lrw,kmeans,48
normalized/Lsym_kmeans_18,0.26002808380456116,normalized/Lsym,kmeans,18
normalized/Lsym_kmeans_16,0.25614626316332817,normalized/Lsym,kmeans,16
normalized/Lrw_discretize_10,0.24992303591398096,normalized/Lrw,discretize,10
normalized/Lsym_kmeans_30,0.24834097758783896,normalized/Lsym,kmeans,30
normalized/Lrw_kmeans_58,0.2451307127004007,normalized/Lrw,kmeans,58
normalized/Lsym_kmeans_14,0.24450527595698468,normalized/Lsym,kmeans,14
normalized/Lsym_kmeans_32,0.24247775306735908,normalized/Lsym,kmeans,32
normalized/Lrw_kmeans_38,0.23880378007158717,normalized/Lrw,kmeans,38
normalized/Lsym_kmeans_24,0.23838616974356525,normalized/Lsym,kmeans,24
normalized/Lsym_kmeans_28,0.23247684837310853,normalized/Lsym,kmeans,28
normalized/Lrw_kmeans_54,0.2294519267104028,normalized/Lrw,kmeans,54
normalized/Lrw_kmeans_68,0.22459285661878653,normalized/Lrw,kmeans,68
normalized/Lrw_kmeans_46,0.22327662046862948,normalized/Lrw,kmeans,46
normalized/Lrw_kmeans_62,0.21983881149698453,normalized/Lrw,kmeans,62
normalized/Lrw_kmeans_70,0.21949588210503307,normalized/Lrw,kmeans,70
normalized/Lsym_kmeans_20,0.2194377542716092,normalized/Lsym,kmeans,20
normalized/Lsym_kmeans_10,0.2187080596182198,normalized/Lsym,kmeans,10
normalized/Lsym_kmeans_12,0.20898850286464918,normalized/Lsym,kmeans,12
normalized/Lrw_kmeans_6,0.20604625872115398,normalized/Lrw,kmeans,6
normalized/Lrw_discretize_8,0.2016732090762479,normalized/Lrw,discretize,8
normalized/Lsym_kmeans_8,0.20144745080511234,normalized/Lsym,kmeans,8
normalized/Lrw_kmeans_52,0.19920530384658275,normalized/Lrw,kmeans,52
normalized/Lrw_kmeans_44,0.19657877535865317,normalized/Lrw,kmeans,44
normalized/Lrw_kmeans_56,0.18924957996638553,normalized/Lrw,kmeans,56
normalized/Lsym_kmeans_34,0.18842030821461878,normalized/Lsym,kmeans,34
normalized/Lrw_kmeans_72,0.1836242693157543,normalized/Lrw,kmeans,72
normalized/Lsym_kmeans_6,0.18031614288821646,normalized/Lsym,kmeans,6
normalized/Lrw_kmeans_4,0.17696288052094203,normalized/Lrw,kmeans,4
normalized/Lrw_kmeans_50,0.16927044594614987,normalized/Lrw,kmeans,50
normalized/Lsym_kmeans_44,0.16704721040572118,normalized/Lsym,kmeans,44
normalized/Lrw_kmeans_60,0.1670247271957224,normalized/Lrw,kmeans,60
normalized/Lsym_kmeans_36,0.16183850900462932,normalized/Lsym,kmeans,36
normalized/Lrw_kmeans_76,0.16110383204836112,normalized/Lrw,kmeans,76
normalized/Lsym_kmeans_40,0.157575711433876,normalized/Lsym,kmeans,40
normalized/Lrw_kmeans_66,0.1475417818435643,normalized/Lrw,kmeans,66
normalized/Lsym_discretize_6,0.14538714126089938,normalized/Lsym,discretize,6
normalized/Lsym_kmeans_46,0.14062327164356023,normalized/Lsym,kmeans,46
normalized/Lsym_kmeans_38,0.1390616872601372,normalized/Lsym,kmeans,38
normalized/Lsym_kmeans_42,0.13755844991882712,normalized/Lsym,kmeans,42
normalized/Lsym_kmeans_50,0.13688432715619356,normalized/Lsym,kmeans,50
normalized/Lsym_kmeans_68,0.13601793344433108,normalized/Lsym,kmeans,68
